#Core: ddr2_phy - Instance: ddr_m0|ddr2_controller_phy_inst|ddr2_phy_inst
#Path, Setup Margin, Hold Margin
"Address Command (Slow 1200mV 85C Model)",3.300,1.248
"DQS vs CK (Slow 1200mV 85C Model)",1.315,1.288
"Mimic (Slow 1200mV 85C Model)",1.034,
"Phy (Slow 1200mV 85C Model)",1.034,0.293
"Phy Reset (Slow 1200mV 85C Model)",3.135,0.891
"Read Capture (Slow 1200mV 85C Model)",0.398,0.403
"Write (Slow 1200mV 85C Model)",0.443,0.659
 
"Address Command (Slow 1200mV 0C Model)",3.439,1.194
"DQS vs CK (Slow 1200mV 0C Model)",1.330,1.303
"Mimic (Slow 1200mV 0C Model)",1.082,
"Phy (Slow 1200mV 0C Model)",1.082,0.285
"Phy Reset (Slow 1200mV 0C Model)",3.462,0.803
"Read Capture (Slow 1200mV 0C Model)",0.395,0.400
"Write (Slow 1200mV 0C Model)",0.458,0.674
 
"Address Command (Fast 1200mV 0C Model)",3.691,1.125
"DQS vs CK (Fast 1200mV 0C Model)",1.423,1.367
"Mimic (Fast 1200mV 0C Model)",1.526,
"Phy (Fast 1200mV 0C Model)",1.526,0.141
"Phy Reset (Fast 1200mV 0C Model)",4.162,0.490
"Read Capture (Fast 1200mV 0C Model)",0.438,0.443
"Write (Fast 1200mV 0C Model)",0.537,0.737
